title,url
Українські парафехтувальники - треті у командному заліку чемпіонату світу,https://www.ukrinform.ua/rubric-sports/4034438-ukrainski-parafehtuvalniki-treti-u-komandnomu-zaliku-cempionatu-svitu.html
У російській Пензі внаслідок вибухів вийшли з ладу два газогони - джерело,https://www.ukrinform.ua/rubric-ato/4034442-u-rosijskij-penzi-vnaslidok-vibuhiv-vijsli-z-ladu-dva-gazogoni-dzerelo.html
У Бєлгородській області після дронової атаки загорілась нафтобаза - ЗМІ,https://www.ukrinform.ua/rubric-world/4034440-u-belgorodskij-oblasti-pisla-dronovoi-ataki-zagorilas-naftobaza-zmi.html
Поліція Лондона почала розслідування після появи нового муралу Бенксі,https://www.ukrinform.ua/rubric-culture/4034436-policia-londona-pocala-rozsliduvanna-pisla-poavi-novogo-muralu-benksi.html
Кінофестиваль Docudays UA оголосив прийом стрічок,https://www.ukrinform.ua/rubric-culture/4034433-kinofestival-docudays-ua-ogolosiv-prijom-stricok.html
На Київщині працює ППО,https://www.ukrinform.ua/rubric-regions/4034437-na-kiivsini-pracue-ppo.html
Розвідка опублікувала дані про сотню іноземних компонентів у російських дронах і ракетах,https://www.ukrinform.ua/rubric-ato/4034432-rozvidka-opublikuvala-dani-pro-sotnu-inozemnih-komponentiv-u-rosijskih-dronah-i-raketah.html
"ЗСУ показали, як збили над Києвом «Іскандер-К» із зенітної установки",https://www.ukrinform.ua/rubric-ato/4034431-zsu-pokazali-ak-zbili-nad-kievom-iskanderk-iz-zenitnoi-ustanovki.html
Українська баскетболістка Ткаченко продовжить кар'єру у команді NCAA,https://www.ukrinform.ua/rubric-sports/4034427-ukrainska-basketbolistka-tkacenko-prodovzit-kareru-u-komandi-ncaa.html
У Дніпропетровській області зросла кількість хворих на коронавірус,https://www.ukrinform.ua/rubric-regions/4034421-u-dnipropetrovskij-oblasti-zrosla-kilkist-hvorih-na-koronavirus.html
"Флотилія з гумдопомогою для Гази заявила про атаку на її човен у Тунісі, влада країни заперечує",https://www.ukrinform.ua/rubric-world/4034425-flotilia-z-gumdopomogou-dla-gazi-zaavila-pro-ataku-na-ii-coven-u-tunisi-vlada-kraini-zaperecue.html
Українці у Британії протестуватимуть проти виступу Нетребко,https://www.ukrinform.ua/rubric-diaspora/4034418-ukrainci-u-britanii-protestuvatimut-proti-vistupu-netrebko.html
Конференція в Сеулі: НАТО посилює оборонну співпрацю з країнами Індо-Тихоокеанського регіону,https://www.ukrinform.ua/rubric-world/4034417-konferencia-v-seuli-nato-posilue-oboronnu-spivpracu-z-krainami-indotihookeanskogo-regionu.html
